classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc,null_del,encoded,scaler,sampler
RandomForest,0.6766244923461419,0.6072563433720655,1.0,0.7556434241199209,0.6766244923461417,0.32585709708426785,0.0019002375296912114,0.5714285714285714,0.003787878787878788,0.4483668226442793,1.0,0.0,None,RandomOverSampler
LightGBM,0.6660418619181506,0.5995504776175313,1.0,0.7496487119437939,0.6660418619181505,0.3530919577058635,0.0019801980198019802,0.5714285714285714,0.003946719289590528,0.4620148637489677,1.0,0.0,None,RandomOverSampler
SVC,0.5,0.5,1.0,0.6666666666666666,0.5,0.002242870874719641,0.002242870874719641,1.0,0.004475703324808183,0.5,1.0,0.0,None,RandomOverSampler
LogisticReg,0.935869258946182,0.8870343985345003,0.8820076907508602,0.88451390298356,0.9193309306612784,0.9548221723806473,0.0,0.0,0.0,0.47848426461143223,1.0,0.0,MM,SVMSMOTE
DecisionTree,0.873541842772612,0.6891569645111516,0.9943331309451529,0.8140845070422535,0.9106311078030982,0.8305030438961871,0.0019083969465648854,0.14285714285714285,0.0037664783427495286,0.48745297733737036,1.0,0.0,MM,SVMSMOTE
RandomForest,0.9876584953508031,0.9633045525902669,0.9935235782230317,0.9781807312942113,0.9894593836132343,0.9775712912528036,0.0,0.0,0.0,0.48988439306358383,1.0,0.0,MM,SVMSMOTE
LightGBM,0.9487743026204565,0.8484272381610785,0.9935235782230317,0.9152605574718001,0.9625146788334779,0.9179750080102531,0.00398406374501992,0.14285714285714285,0.007751937984496123,0.5312872740618405,1.0,0.0,MM,SVMSMOTE
SVC,0.9909270216962525,0.9734548335974643,0.994535519125683,0.9838822704975473,0.9920350197940192,0.987183595001602,0.0,0.0,0.0,0.49470134874759153,1.0,0.0,MM,SVMSMOTE
LogisticReg,0.6100046860356139,0.5985447421814875,0.6681505779443924,0.6314352142303575,0.6100046860356139,0.5450176225568728,0.0021141649048625794,0.42857142857142855,0.004207573632538569,0.48692540600055056,1.0,0.0,MM,RandomOverSampler
DecisionTree,0.9998828491096532,0.9997657531037714,1.0,0.9998828628323767,0.9998828491096533,0.9939122076257609,0.0,0.0,0.0,0.4980732177263969,1.0,0.0,MM,RandomOverSampler
RandomForest,0.6766244923461419,0.6072563433720655,1.0,0.7556434241199209,0.6766244923461417,0.32585709708426785,0.0019002375296912114,0.5714285714285714,0.003787878787878788,0.4483668226442793,1.0,0.0,MM,RandomOverSampler
LightGBM,0.6660418619181506,0.5995504776175313,1.0,0.7496487119437939,0.6660418619181505,0.3530919577058635,0.0019801980198019802,0.5714285714285714,0.003946719289590528,0.4620148637489677,1.0,0.0,MM,RandomOverSampler
SVC,0.979967197750703,0.9614778103176391,1.0,0.9803606293786609,0.9799671977507028,0.9554629926305671,0.0,0.0,0.0,0.4788053949903661,1.0,0.0,MM,RandomOverSampler
LogisticReg,0.9377852916314455,0.8932158229145317,0.8820076907508602,0.8875763747454175,0.920658640751875,0.9596283242550464,0.0,0.0,0.0,0.4808927424534361,1.0,0.0,SD,SVMSMOTE
DecisionTree,0.873541842772612,0.6891569645111516,0.9943331309451529,0.8140845070422535,0.9106311078030982,0.8305030438961871,0.0019083969465648854,0.14285714285714285,0.0037664783427495286,0.48745297733737036,1.0,0.0,SD,SVMSMOTE
RandomForest,0.9876584953508031,0.9633045525902669,0.9935235782230317,0.9781807312942113,0.9894593836132343,0.9775712912528036,0.0,0.0,0.0,0.48988439306358383,1.0,0.0,SD,SVMSMOTE
LightGBM,0.9487743026204565,0.8484272381610785,0.9935235782230317,0.9152605574718001,0.9625146788334779,0.9179750080102531,0.00398406374501992,0.14285714285714285,0.007751937984496123,0.5312872740618405,1.0,0.0,SD,SVMSMOTE
SVC,0.9876021414482953,0.9605853658536585,0.9963570127504554,0.9781442479634412,0.9902903464252121,0.9759692406280038,0.0,0.0,0.0,0.48908156711624917,1.0,0.0,SD,SVMSMOTE
LogisticReg,0.6100046860356139,0.5985447421814875,0.6681505779443924,0.6314352142303575,0.6100046860356139,0.5443768023069528,0.00211118930330753,0.42857142857142855,0.004201680672268908,0.4866042756216167,1.0,0.0,SD,RandomOverSampler
DecisionTree,0.9998828491096532,0.9997657531037714,1.0,0.9998828628323767,0.9998828491096533,0.9939122076257609,0.0,0.0,0.0,0.4980732177263969,1.0,0.0,SD,RandomOverSampler
RandomForest,0.6766244923461419,0.6072563433720655,1.0,0.7556434241199209,0.6766244923461417,0.32585709708426785,0.0019002375296912114,0.5714285714285714,0.003787878787878788,0.4483668226442793,1.0,0.0,SD,RandomOverSampler
LightGBM,0.6660418619181506,0.5995504776175313,1.0,0.7496487119437939,0.6660418619181505,0.3530919577058635,0.0019801980198019802,0.5714285714285714,0.003946719289590528,0.4620148637489677,1.0,0.0,SD,RandomOverSampler
SVC,0.9895345204623555,0.9794981640146879,1.0,0.9896429123512135,0.9895345204623556,0.9669977571291253,0.0,0.0,0.0,0.48458574181117536,1.0,0.0,SD,RandomOverSampler
LogisticReg,0.9380107072414765,0.893948717948718,0.8820076907508602,0.8879380603096986,0.9208148419390041,0.9599487343800064,0.0,0.0,0.0,0.481053307642903,1.0,0.0,RB,SVMSMOTE
DecisionTree,0.873541842772612,0.6891569645111516,0.9943331309451529,0.8140845070422535,0.9106311078030982,0.8305030438961871,0.0019083969465648854,0.14285714285714285,0.0037664783427495286,0.48745297733737036,1.0,0.0,RB,SVMSMOTE
RandomForest,0.9876584953508031,0.9633045525902669,0.9935235782230317,0.9781807312942113,0.9894593836132343,0.9775712912528036,0.0,0.0,0.0,0.48988439306358383,1.0,0.0,RB,SVMSMOTE
LightGBM,0.9487743026204565,0.8484272381610785,0.9935235782230317,0.9152605574718001,0.9625146788334779,0.9179750080102531,0.00398406374501992,0.14285714285714285,0.007751937984496123,0.5312872740618405,1.0,0.0,RB,SVMSMOTE
SVC,0.3673710904480135,0.3055985153108568,0.9997976118194697,0.4681133327016015,0.5615592245289164,0.12463953860942006,0.0021921812203142127,0.8571428571428571,0.004373177842565598,0.49006789613726026,1.0,0.0,RB,SVMSMOTE
LogisticReg,0.6101218369259607,0.5986703988803359,0.6681505779443924,0.6315051302871484,0.6101218369259607,0.5446972124319128,0.002112676056338028,0.42857142857142855,0.0042046250875963555,0.4867648408110836,1.0,0.0,RB,RandomOverSampler
DecisionTree,0.9998828491096532,0.9997657531037714,1.0,0.9998828628323767,0.9998828491096533,0.9939122076257609,0.0,0.0,0.0,0.4980732177263969,1.0,0.0,RB,RandomOverSampler
RandomForest,0.6766244923461419,0.6072563433720655,1.0,0.7556434241199209,0.6766244923461417,0.32585709708426785,0.0019002375296912114,0.5714285714285714,0.003787878787878788,0.4483668226442793,1.0,0.0,RB,RandomOverSampler
LightGBM,0.6660418619181506,0.5995504776175313,1.0,0.7496487119437939,0.6660418619181505,0.3530919577058635,0.0019801980198019802,0.5714285714285714,0.003946719289590528,0.4620148637489677,1.0,0.0,RB,RandomOverSampler
SVC,0.5616994689159638,0.5328783086399201,1.0,0.6952649869678541,0.5616994689159638,0.12399871835950016,0.002190580503833516,0.8571428571428571,0.004369992716678805,0.48974676575832643,1.0,0.0,RB,RandomOverSampler
LogisticReg,0.8211327134404057,0.609465989344567,0.9955474600283344,0.7560713187826621,0.8746871945564977,0.7552066645305991,0.00651890482398957,0.7142857142857143,0.012919896640826874,0.7347921827690614,0.0,1.0,None,SVMSMOTE
DecisionTree,0.9173851789236405,0.7733207487808714,0.9949402954867436,0.8702425208001415,0.9411986700801416,0.7824415251521948,0.0029585798816568047,0.2857142857142857,0.005856515373352854,0.5346362051564363,0.0,1.0,None,SVMSMOTE
RandomForest,0.8117216117216117,0.5970638194612958,0.9959522363893949,0.7465675491162861,0.8682900825808268,0.7484780519064402,0.0025575447570332483,0.2857142857142857,0.005069708491761724,0.5176162950729424,0.0,1.0,None,SVMSMOTE
LightGBM,0.9861369399830938,0.9580487804878048,0.993725966403562,0.9755612954500298,0.9884671693935961,0.9711630887536046,0.0,0.0,0.0,0.48667308927424535,0.0,1.0,None,SVMSMOTE
SVC,0.3358129050436743,0.2952927806687003,0.999190447277879,0.4558633425669437,0.5395046269504046,0.09227811598846523,0.0024647887323943664,1.0,0.0049174569722514935,0.5451188182402056,0.0,1.0,None,SVMSMOTE
LogisticReg,0.5291705716963448,0.5150235308314227,1.0,0.6798884906411788,0.5291705716963448,0.049983979493752,0.0023553162853297443,1.0,0.004699563611950319,0.5239242132305716,0.0,1.0,None,RandomOverSampler
DecisionTree,1.0,1.0,1.0,1.0,1.0,0.9958346683755207,0.0,0.0,0.0,0.49903660886319845,0.0,1.0,None,RandomOverSampler
RandomForest,0.9906669790690409,0.9816759947864755,1.0,0.9907532789105119,0.990666979069041,0.9641140660044858,0.0,0.0,0.0,0.48314065510597304,0.0,1.0,None,RandomOverSampler
LightGBM,0.904482974070603,0.8396065573770491,1.0,0.9128110073429813,0.904482974070603,0.6959307914130086,0.0021141649048625794,0.2857142857142857,0.004197271773347324,0.49128360400036697,0.0,1.0,None,RandomOverSampler
SVC,0.5008981568259919,0.5004494821184288,1.0,0.6670660866394018,0.5008981568259918,0.004165331624479333,0.0022471910112359553,1.0,0.004484304932735426,0.5009633911368016,0.0,1.0,None,RandomOverSampler
LogisticReg,0.9980839673147366,1.0,0.9931188018619712,0.9965475223395613,0.9965594009309856,0.9977571291252804,0.0,0.0,0.0,0.5,0.0,1.0,MM,SVMSMOTE
DecisionTree,0.9173851789236405,0.7733207487808714,0.9949402954867436,0.8702425208001415,0.9411986700801416,0.7824415251521948,0.0029585798816568047,0.2857142857142857,0.005856515373352854,0.5346362051564363,0.0,1.0,MM,SVMSMOTE
RandomForest,0.8117216117216117,0.5970638194612958,0.9959522363893949,0.7465675491162861,0.8682900825808268,0.7484780519064402,0.0025575447570332483,0.2857142857142857,0.005069708491761724,0.5176162950729424,0.0,1.0,MM,SVMSMOTE
LightGBM,0.9861369399830938,0.9580487804878048,0.993725966403562,0.9755612954500298,0.9884671693935961,0.9711630887536046,0.0,0.0,0.0,0.48667308927424535,0.0,1.0,MM,SVMSMOTE
SVC,0.999549168779938,0.9985850010107136,0.9997976118194697,0.9991909385113268,0.999625453832259,0.9964754886254406,0.0,0.0,0.0,0.4993577392421323,0.0,1.0,MM,SVMSMOTE
LogisticReg,0.8708997188378632,0.8268410185822437,0.9383005310840362,0.8790517304455989,0.8708997188378631,0.6975328420378084,0.003181336161187699,0.42857142857142855,0.00631578947368421,0.5633544361868061,0.0,1.0,MM,RandomOverSampler
DecisionTree,1.0,1.0,1.0,1.0,1.0,0.9958346683755207,0.0,0.0,0.0,0.49903660886319845,0.0,1.0,MM,RandomOverSampler
RandomForest,0.9906669790690409,0.9816759947864755,1.0,0.9907532789105119,0.990666979069041,0.9641140660044858,0.0,0.0,0.0,0.48314065510597304,0.0,1.0,MM,RandomOverSampler
LightGBM,0.904482974070603,0.8396065573770491,1.0,0.9128110073429813,0.904482974070603,0.6959307914130086,0.0021141649048625794,0.2857142857142857,0.004197271773347324,0.49128360400036697,0.0,1.0,MM,RandomOverSampler
SVC,0.9995704467353952,0.9991416309012876,1.0,0.9995706311721769,0.9995704467353952,0.9958346683755207,0.0,0.0,0.0,0.49903660886319845,0.0,1.0,MM,RandomOverSampler
LogisticReg,0.9980839673147366,1.0,0.9931188018619712,0.9965475223395613,0.9965594009309856,0.9977571291252804,0.0,0.0,0.0,0.5,0.0,1.0,SD,SVMSMOTE
DecisionTree,0.9173851789236405,0.7733207487808714,0.9949402954867436,0.8702425208001415,0.9411986700801416,0.7824415251521948,0.0029585798816568047,0.2857142857142857,0.005856515373352854,0.5346362051564363,0.0,1.0,SD,SVMSMOTE
