class_weight,null_del,encoded,scaler,sampler,classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc
1,0,0,MM,ADASYN,SVC,0.9638201545546796,0.9405705816969248,0.9902480886253706,0.9647702656481587,0.9638057062933164,0.9458506888817687,0.0,0.0,0.0,0.47398843930635837
1,0,0,SD,SMOTE,LogisticReg,0.6565135895032802,0.5927949620300056,0.999843798812871,0.7443023255813953,0.6565135895032803,0.3486062159564242,0.002455795677799607,0.7142857142857143,0.004894762604013705,0.5310349573355354
1,0,0,SD,SMOTE,DecisionTree,0.5804045610746642,0.5437210685012953,0.9999218994064355,0.7044097823993838,0.5804045610746642,0.15956424223005447,0.00228310502283105,0.8571428571428571,0.004554079696394687,0.5075695017891549
1,0,0,SD,SMOTE,RandomForest,0.618283348953452,0.5670756012223748,1.0,0.7237373880111918,0.618283348953452,0.23357898109580263,0.0020876826722338203,0.7142857142857143,0.004163197335553705,0.47339205431690984
1,0,0,SD,SMOTE,LightGBM,0.8025226491721337,0.7170636032502101,0.9993751952514839,0.8350027733368135,0.8025226491721338,0.5869913489266261,0.000778816199376947,0.14285714285714285,0.001549186676994578,0.3654234333425085
1,0,0,SD,SMOTE,SVC,0.9830912214932833,0.9692027611317606,0.9978912839737581,0.9833378227575326,0.9830912214932833,0.9708426786286447,0.0,0.0,0.0,0.4865125240847784
1,0,0,SD,ADASYN,LogisticReg,0.655608461478417,0.59228280961183,0.999921984709003,0.7439201346566836,0.6554202238446608,0.35116949695610383,0.002465483234714004,0.7142857142857143,0.004914004914004914,0.5323194788512708
1,0,0,SD,ADASYN,DecisionTree,0.5806338303020842,0.5439921904842748,0.999921984709003,0.7046372907446604,0.5804046037259478,0.15956424223005447,0.00228310502283105,0.8571428571428571,0.004554079696394687,0.5075695017891549
1,0,0,SD,ADASYN,RandomForest,0.6047146983061431,0.5586158807635317,1.0,0.7168102002013197,0.6044985941893158,0.21050945209868632,0.002026753141467369,0.7142857142857143,0.0040420371867421175,0.4618313606752913
1,0,0,SD,ADASYN,LightGBM,0.9045741940519866,0.8398086876760794,1.0,0.9129304511947581,0.9045220243673852,0.7801986542774751,0.0,0.0,0.0,0.3909762363519589
1,0,0,SD,ADASYN,SVC,0.9809148388103973,0.96832029172681,0.9943828990482134,0.9811785535583696,0.9809074757659062,0.9718039090035245,0.0,0.0,0.0,0.4869942196531792
1,0,0,RB,SMOTE,LogisticReg,0.6107466416744767,0.5622749231444883,0.9999218994064355,0.7197953561589924,0.6107466416744767,0.23870554309516182,0.00251994960100798,0.8571428571428571,0.005025125628140704,0.5472291035874851
1,0,0,RB,SMOTE,DecisionTree,0.5804045610746642,0.5437210685012953,0.9999218994064355,0.7044097823993838,0.5804045610746642,0.15956424223005447,0.00228310502283105,0.8571428571428571,0.004554079696394687,0.5075695017891549
1,0,0,RB,SMOTE,RandomForest,0.618283348953452,0.5670756012223748,1.0,0.7237373880111918,0.618283348953452,0.23357898109580263,0.0020876826722338203,0.7142857142857143,0.004163197335553705,0.47339205431690984
1,0,0,RB,SMOTE,LightGBM,0.8007263355201499,0.7150756856392784,0.999843798812871,0.8338163936561697,0.8007263355201499,0.5764178148029477,0.0007593014426727411,0.14285714285714285,0.0015105740181268882,0.3601247820901
