classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc,null_del,encoded,scaler,sampler,class_weight
RandomForest,0.5855982505467041,0.5468056030064913,1.0,0.7070127001656543,0.5855982505467041,0.1643703941044537,0.002296211251435132,0.8571428571428571,0.004580152671755725,0.5099779796311588,1,0,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
LightGBM,0.7751093408309904,0.6897591984054302,1.0,0.8163994006439889,0.7751093408309904,0.5270746555591157,0.002708192281651997,0.5714285714285714,0.005390835579514824,0.5492017616295073,1,0,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
SVC,0.9821930646672915,0.9656108597285068,1.0,0.9825046040515654,0.9821930646672914,0.9577058635052867,0.0,0.0,0.0,0.47992935131663456,1,0,MM,RandomOverSampler,balanced
LogisticReg,0.6554522400676247,0.4468123696381609,0.9971665654725764,0.6171092184368737,0.7603764723645293,0.5296379365587952,0.002722940776038121,0.5714285714285714,0.005420054200542005,0.5504862831452426,1,0,SD,SVMSMOTE,"{0: 0.005, 1: 1}"
DecisionTree,0.7476472245703015,0.5246302798170018,0.9979761181946974,0.6877266387726638,0.8245113330742309,0.5857097084267863,0.0023219814241486067,0.42857142857142855,0.0046189376443418004,0.5073171850628498,1,0,SD,SVMSMOTE,"{0: 0.005, 1: 1}"
RandomForest,0.8623837700760778,0.6702548031066903,0.9955474600283344,0.8011400651465798,0.9032720118011087,0.8176866388977891,0.008741258741258742,0.7142857142857143,0.017271157167530225,0.7661023947151115,1,0,SD,SVMSMOTE,"{0: 0.005, 1: 1}"
LightGBM,0.8454775993237532,0.643594096904793,0.9973689536531066,0.7823464041911414,0.8921162169077779,0.7699455302787568,0.002797202797202797,0.2857142857142857,0.00554016620498615,0.5283741627672263,1,0,SD,SVMSMOTE,"{0: 0.005, 1: 1}"
SVC,0.9891800507185122,0.9686204854943754,0.9933211900425015,0.9808153477218224,0.9904515978328722,0.9881448253764819,0.0,0.0,0.0,0.4951830443159923,1,0,SD,SVMSMOTE,balanced
LogisticReg,0.5280381130896595,0.5144234632382483,1.0,0.6793654162466175,0.5280381130896594,0.04453700736943288,0.002008704385671242,0.8571428571428571,0.004008016032064128,0.4499265987705294,1,0,SD,RandomOverSampler,"{0: 0.01, 1: 1.0}"
DecisionTree,0.5827085285848173,0.5450830140485313,1.0,0.7055711687882296,0.5827085285848173,0.14995193848125601,0.002257336343115124,0.8571428571428571,0.00450281425891182,0.5027525461051472,1,0,SD,RandomOverSampler,"{0: 0.01, 1: 1.0}"
RandomForest,0.5855982505467041,0.5468056030064913,1.0,0.7070127001656543,0.5855982505467041,0.1643703941044537,0.002296211251435132,0.8571428571428571,0.004580152671755725,0.5099779796311588,1,0,SD,RandomOverSampler,"{0: 0.01, 1: 1.0}"
LightGBM,0.7751093408309904,0.6897591984054302,1.0,0.8163994006439889,0.7751093408309904,0.5270746555591157,0.002708192281651997,0.5714285714285714,0.005390835579514824,0.5492017616295073,1,0,SD,RandomOverSampler,"{0: 0.01, 1: 1.0}"
SVC,0.9684864104967198,0.9407097200793476,1.0,0.9694491766042022,0.9684864104967198,0.93784043575777,0.0,0.0,0.0,0.4699743095696853,1,0,SD,RandomOverSampler,balanced
LogisticReg,0.6335869258946182,0.43166097539619996,0.9977737300141671,0.6026158171372693,0.7454113885934628,0.4911887215636014,0.0031426775612822125,0.7142857142857143,0.006257822277847309,0.6024864666483164,1,0,RB,SVMSMOTE,"{0: 0.005, 1: 1}"
DecisionTree,0.7476472245703015,0.5246302798170018,0.9979761181946974,0.6877266387726638,0.8245113330742309,0.5857097084267863,0.0023219814241486067,0.42857142857142855,0.0046189376443418004,0.5073171850628498,1,0,RB,SVMSMOTE,"{0: 0.005, 1: 1}"
RandomForest,0.8623837700760778,0.6702548031066903,0.9955474600283344,0.8011400651465798,0.9032720118011087,0.8176866388977891,0.008741258741258742,0.7142857142857143,0.017271157167530225,0.7661023947151115,1,0,RB,SVMSMOTE,"{0: 0.005, 1: 1}"
LightGBM,0.8454775993237532,0.643594096904793,0.9973689536531066,0.7823464041911414,0.8921162169077779,0.7699455302787568,0.002797202797202797,0.2857142857142857,0.00554016620498615,0.5283741627672263,1,0,RB,SVMSMOTE,"{0: 0.005, 1: 1}"
SVC,0.8833474218089603,0.7063982746225737,0.9943331309451529,0.8259919300605245,0.9174258594432105,0.8333867350208266,0.001941747572815534,0.14285714285714285,0.003831417624521073,0.4888980640425727,1,0,RB,SVMSMOTE,balanced
