,null_del,encoded,scaler,sampler,classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc
12,1,1,SD,BdlSMOTE,RandomForest,0.813573883161512,0.7287227982226273,0.9990627928772259,0.8427432637196126,0.8135738831615121,0.4428067926946492,0.0034403669724770644,0.8571428571428571,0.006853226727584238,0.6495091292779154
13,1,1,SD,BdlSMOTE,LightGBM,0.9602858481724461,0.9281511078823103,0.9978131833801936,0.9617223079528774,0.960285848172446,0.8760012816404998,0.002617801047120419,0.14285714285714285,0.0051413881748071984,0.5102532342416735
14,1,1,SD,BdlSMOTE,SVC,0.9997266479225242,1.0,0.9994532958450484,0.9997265731807351,0.9997266479225242,0.9955142582505607,0.0,0.0,0.0,0.49887604367373156
15,1,1,SD,BdlSMOTE,LogisticReg,0.9986722899094033,1.0,0.9973445798188066,0.9986705247517009,0.9986722899094034,0.9977571291252804,0.0,0.0,0.0,0.5
16,1,1,SD,BdlSMOTE,DecisionTree,0.864456419868791,0.7876117103235747,0.9980474851608873,0.8804299149126736,0.864456419868791,0.7109900672861262,0.003329633740288568,0.42857142857142855,0.006607929515418502,0.5700981741444169
17,1,1,SD,BdlSMOTE,RandomForest,0.813573883161512,0.7287227982226273,0.9990627928772259,0.8427432637196126,0.8135738831615121,0.4428067926946492,0.0034403669724770644,0.8571428571428571,0.006853226727584238,0.6495091292779154
18,1,1,SD,BdlSMOTE,LightGBM,0.9602858481724461,0.9281511078823103,0.9978131833801936,0.9617223079528774,0.960285848172446,0.8760012816404998,0.002617801047120419,0.14285714285714285,0.0051413881748071984,0.5102532342416735
19,1,1,SD,BdlSMOTE,SVC,0.9997266479225242,1.0,0.9994532958450484,0.9997265731807351,0.9997266479225242,0.9955142582505607,0.0,0.0,0.0,0.49887604367373156
20,1,0,None,BdlSMOTE,LogisticReg,0.9719618869103405,0.9490933412604042,0.9974226804123711,0.9726580350342725,0.9719618869103406,0.9506568407561679,0.0,0.0,0.0,0.47639691714836224
21,1,0,None,BdlSMOTE,DecisionTree,0.9123711340206185,0.852187833511206,0.9978131833801936,0.919268959562527,0.9123711340206185,0.8305030438961871,0.0019083969465648854,0.14285714285714285,0.0037664783427495286,0.48745297733737036
