,class_weight,null_del,encoded,scaler,sampler,classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc
17,1,1,1,SD,BdlSMOTE,RandomForest,0.8960090596688535,0.8282089455628197,0.9992970946579194,0.9057445227055534,0.8960090596688535,0.700096123037488,0.004268943436499467,0.5714285714285714,0.008474576271186442,0.635906963941646
18,1,1,1,SD,BdlSMOTE,LightGBM,0.9090909090909091,0.8464285714285714,0.9995313964386129,0.9166308551783412,0.9090909090909091,0.7571291252803588,0.003963011889035667,0.42857142857142855,0.007853403141361256,0.593219561427654
19,1,1,1,SD,BdlSMOTE,SVC,0.9987894407997501,1.0,0.9975788815995001,0.9987879735700043,0.9987894407997501,0.9974367190003204,0.0,0.0,0.0,0.49983943481053306
20,1,1,0,None,BdlSMOTE,LogisticReg,0.74480631052796,0.6622831995858142,0.9990627928772259,0.7965378747781687,0.7448063105279601,0.4934315924383211,0.0031565656565656565,0.7142857142857143,0.006285355122564424,0.6036104229745849
21,1,1,0,None,BdlSMOTE,DecisionTree,0.7840128084973446,0.6986181659293244,0.9989846922836614,0.8222286504033683,0.7840128084973446,0.5770586350528677,0.002274450341167551,0.42857142857142855,0.004524886877828054,0.5029819249472429
22,1,1,0,None,BdlSMOTE,RandomForest,0.9348641049671977,0.8861839367457345,0.9978912839737581,0.9387260304165749,0.9348641049671977,0.8788849727651393,0.002680965147453083,0.14285714285714285,0.005263157894736842,0.5116983209468758
23,1,1,0,None,BdlSMOTE,LightGBM,0.8998359887535146,0.8334527453917802,0.9993751952514839,0.9089036474056185,0.8998359887535144,0.7795578340275553,0.00291970802919708,0.2857142857142857,0.005780346820809248,0.5331911184512341
24,1,1,0,None,BdlSMOTE,SVC,0.8297016557325836,0.746568541557152,0.9982817869415808,0.8542690058479533,0.8297016557325836,0.6594040371675745,0.002824858757062147,0.42857142857142855,0.005612722170252572,0.5442471786402423
25,1,1,0,MM,BdlSMOTE,LogisticReg,0.6790065604498594,0.6091220719862883,0.9992189940643549,0.7568622811168955,0.6790065604498594,0.3723165652034604,0.003054989816700611,0.8571428571428571,0.006088280060882801,0.6141847875951922
26,1,1,0,MM,BdlSMOTE,DecisionTree,0.7840128084973446,0.6986181659293244,0.9989846922836614,0.8222286504033683,0.7840128084973446,0.5770586350528677,0.002274450341167551,0.42857142857142855,0.004524886877828054,0.5029819249472429
27,1,1,0,MM,BdlSMOTE,RandomForest,0.9348641049671977,0.8861839367457345,0.9978912839737581,0.9387260304165749,0.9348641049671977,0.8788849727651393,0.002680965147453083,0.14285714285714285,0.005263157894736842,0.5116983209468758
28,1,1,0,MM,BdlSMOTE,LightGBM,0.8998359887535146,0.8334527453917802,0.9993751952514839,0.9089036474056185,0.8998359887535144,0.7795578340275553,0.00291970802919708,0.2857142857142857,0.005780346820809248,0.5331911184512341
29,1,1,0,MM,BdlSMOTE,SVC,0.9899250234301781,0.9826869806094183,0.9974226804123711,0.9900000000000001,0.9899250234301781,0.9839794937520026,0.0,0.0,0.0,0.49309569685292226
30,1,1,0,SD,BdlSMOTE,LogisticReg,0.7594501718213058,0.675433037600338,0.9989065916900969,0.8059231253938248,0.7594501718213058,0.5293175264338353,0.0027210884353741495,0.5714285714285714,0.005416384563303994,0.5503257179557758
31,1,1,0,SD,BdlSMOTE,DecisionTree,0.7840128084973446,0.6986181659293244,0.9989846922836614,0.8222286504033683,0.7840128084973446,0.5770586350528677,0.002274450341167551,0.42857142857142855,0.004524886877828054,0.5029819249472429
32,1,1,0,SD,BdlSMOTE,RandomForest,0.9348641049671977,0.8861839367457345,0.9978912839737581,0.9387260304165749,0.9348641049671977,0.8788849727651393,0.002680965147453083,0.14285714285714285,0.005263157894736842,0.5116983209468758
33,1,1,0,SD,BdlSMOTE,LightGBM,0.8998359887535146,0.8334527453917802,0.9993751952514839,0.9089036474056185,0.8998359887535144,0.7795578340275553,0.00291970802919708,0.2857142857142857,0.005780346820809248,0.5331911184512341
